V_3_25_006, 0, 0
V_3_25_004, 0, 0
V_3_25_002, 0, 0
V_3_25_017, 1, 1
V_3_25_015, 1, 1
V_3_25_013, 1, 1
V_3_25_018, 2, 2
V_3_25_013, 1, 2
V_3_25_011, 1, 2
V_3_25_025, 3, 3
V_3_25_023, 3, 3
V_3_25_021, 3, 3
V_3_25_022, 3, 4
V_3_25_020, 3, 4
V_3_25_012, 1, 4
V_3_25_019, 3, 5
V_3_25_011, 1, 5
V_3_25_009, 1, 5
V_3_25_010, 1, 6
V_3_25_008, 1, 6
V_3_25_003, 0, 6
V_3_25_007, 1, 7
V_3_25_002, 0, 7
V_3_25_002, 0, 8
V_3_25_001, 0, 9

V_5_25_006, 0, 0
V_5_25_004, 0, 0
V_5_25_002, 0, 0
V_5_25_017, 1, 1
V_5_25_015, 1, 1
V_5_25_013, 1, 1
V_5_25_011, 1, 1
V_5_25_009, 1, 1
V_5_25_018, 2, 2
V_5_25_011, 1, 2
V_5_25_009, 1, 2
V_5_25_007, 1, 2
V_5_25_002, 0, 2
V_5_25_025, 3, 3
V_5_25_023, 3, 3
V_5_25_021, 3, 3
V_5_25_019, 3, 3
V_5_25_007, 1, 3
V_5_25_020, 3, 4
V_5_25_008, 1, 4
V_5_25_003, 0, 4
V_5_25_001, 0, 4
V_5_25_003, 0, 5
V_5_25_001, 0, 5
V_5_25_001, 0, 6

V_5_100_006, 0, 0
V_5_100_004, 0, 0
V_5_100_002, 0, 0
V_5_100_017, 1, 1
V_5_100_015, 1, 1
V_5_100_013, 1, 1
V_5_100_011, 1, 1
V_5_100_009, 1, 1
V_5_100_018, 2, 2
V_5_100_011, 1, 2
V_5_100_009, 1, 2
V_5_100_007, 1, 2
V_5_100_002, 0, 2
V_5_100_030, 3, 3
V_5_100_028, 3, 3
V_5_100_026, 3, 3
V_5_100_024, 3, 3
V_5_100_022, 3, 3
V_5_100_036, 4, 4
V_5_100_034, 4, 4
V_5_100_032, 4, 4
V_5_100_025, 3, 4
V_5_100_023, 3, 4
V_5_100_053, 5, 5
V_5_100_051, 5, 5
V_5_100_049, 5, 5
V_5_100_047, 5, 5
V_5_100_045, 5, 5
V_5_100_056, 6, 6
V_5_100_054, 6, 6
V_5_100_047, 5, 6
V_5_100_045, 5, 6
V_5_100_043, 5, 6
V_5_100_075, 7, 7
V_5_100_073, 7, 7
V_5_100_071, 7, 7
V_5_100_069, 7, 7
V_5_100_067, 7, 7
V_5_100_089, 8, 8
V_5_100_087, 8, 8
V_5_100_085, 8, 8
V_5_100_083, 8, 8
V_5_100_081, 8, 8
V_5_100_097, 9, 9
V_5_100_095, 9, 9
V_5_100_093, 9, 9
V_5_100_091, 9, 9
V_5_100_084, 8, 9
V_5_100_100, 10, 10
V_5_100_098, 10, 10
V_5_100_091, 9, 10
V_5_100_084, 8, 10
V_5_100_082, 8, 10
V_5_100_090, 9, 11
V_5_100_083, 8, 11
V_5_100_081, 8, 11
V_5_100_079, 8, 11
V_5_100_077, 8, 11
V_5_100_080, 8, 12
V_5_100_078, 8, 12
V_5_100_076, 8, 12
V_5_100_069, 7, 12
V_5_100_067, 7, 12
V_5_100_070, 7, 13
V_5_100_068, 7, 13
V_5_100_066, 7, 13
V_5_100_064, 7, 13
V_5_100_062, 7, 13
V_5_100_065, 7, 14
V_5_100_063, 7, 14
V_5_100_061, 7, 14
V_5_100_059, 7, 14
V_5_100_057, 7, 14
V_5_100_060, 7, 15
V_5_100_058, 7, 15
V_5_100_046, 5, 15
V_5_100_044, 5, 15
V_5_100_042, 5, 15
V_5_100_045, 5, 16
V_5_100_043, 5, 16
V_5_100_041, 5, 16
V_5_100_039, 5, 16
V_5_100_037, 5, 16
V_5_100_040, 5, 17
V_5_100_038, 5, 17
V_5_100_031, 4, 17
V_5_100_024, 3, 17
V_5_100_022, 3, 17
V_5_100_025, 3, 18
V_5_100_023, 3, 18
V_5_100_021, 3, 18
V_5_100_019, 3, 18
V_5_100_007, 1, 18
V_5_100_020, 3, 19
V_5_100_008, 1, 19
V_5_100_003, 0, 19
V_5_100_001, 0, 19
V_5_100_003, 0, 20
V_5_100_001, 0, 20
V_5_100_001, 0, 21

